Index,URL,Topic,Claim,Argument,Pro_Con,Words
21,https://www.kialo.com/are-humans-fundamentally-different-from-other-animals-9265,Are Humans fundamentally different from other animals?,Humans are fundamentally different from other animals,Humans are intellectually superior to other beings on Earth,pro,9
23,https://www.kialo.com/are-humans-fundamentally-different-from-other-animals-9265,Are Humans fundamentally different from other animals?,Humans are fundamentally different from other animals,Humans have a sense of self-awareness and individual identity,pro,9
24,https://www.kialo.com/are-humans-fundamentally-different-from-other-animals-9265,Are Humans fundamentally different from other animals?,Humans are fundamentally different from other animals,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,pro,16
26,https://www.kialo.com/are-humans-fundamentally-different-from-other-animals-9265,Are Humans fundamentally different from other animals?,Humans are fundamentally different from other animals,"All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",con,19
29,https://www.kialo.com/are-humans-fundamentally-different-from-other-animals-9265,Are Humans fundamentally different from other animals?,Humans are fundamentally different from other animals,Genetics prove humans are fundamentally very similar to other species,con,10
31,https://www.kialo.com/is-darwinian-evolution-philosophy-or-science-18393,Is Darwinian Evolution Philosophy or Science?,Darwinian evolution is philosophy not science,No single example of evolution has ever been documented,pro,9
37,https://www.kialo.com/is-darwinian-evolution-philosophy-or-science-18393,Is Darwinian Evolution Philosophy or Science?,Darwinian evolution is philosophy not science,Darwin's theory has logical flaws and is therefore hardly in the realm of science,pro,14
47,https://www.kialo.com/did-a-divine-being-create-the-universe-31848,Did a divine being create the universe?,A divine being created the universe,Many complex phenomena and interactions in the universe indicate the work of a creator,pro,14
49,https://www.kialo.com/did-a-divine-being-create-the-universe-31848,Did a divine being create the universe?,A divine being created the universe,Science offers alternative explanations for the origin of the universe,con,10
50,https://www.kialo.com/did-a-divine-being-create-the-universe-31848,Did a divine being create the universe?,A divine being created the universe,Observations have dwindled for God's creative power as humanity has advanced,con,11
54,https://www.kialo.com/do-electronic-devices-help-or-hurt-childrens-development-15819,Do electronic devices help or hurt children's development?,"Giving devices (phone, tablet, computer, etc.) to children is valuable for their development",Devices can benefit parents by offering them greater control over their children's development,pro,13
56,https://www.kialo.com/do-electronic-devices-help-or-hurt-childrens-development-15819,Do electronic devices help or hurt children's development?,"Giving devices (phone, tablet, computer, etc.) to children is valuable for their development",Electronic devices help differently abled children read and write like other kids,pro,12
59,https://www.kialo.com/do-electronic-devices-help-or-hurt-childrens-development-15819,Do electronic devices help or hurt children's development?,"Giving devices (phone, tablet, computer, etc.) to children is valuable for their development",Using devices in school can negatively affect children's grades,con,9
60,https://www.kialo.com/do-electronic-devices-help-or-hurt-childrens-development-15819,Do electronic devices help or hurt children's development?,"Giving devices (phone, tablet, computer, etc.) to children is valuable for their development",Devices can negatively affect children's social and psychological development,con,9
62,https://www.kialo.com/do-electronic-devices-help-or-hurt-childrens-development-15819,Do electronic devices help or hurt children's development?,"Giving devices (phone, tablet, computer, etc.) to children is valuable for their development",Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,con,17
101,https://www.kialo.com/is-it-ethically-wrong-to-watch-pornography-5428,Is it ethically wrong to watch pornography?,It is not ethically wrong to watch pornography,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",pro,12
107,https://www.kialo.com/is-it-ethically-wrong-to-watch-pornography-5428,Is it ethically wrong to watch pornography?,It is not ethically wrong to watch pornography,"Watching pornography contributes to human rights abuses, including gender inequality",con,10
112,https://www.kialo.com/is-radiation-from-cell-phones-and-wi-fi-harmful-10180,Is radiation from cell phones and Wi-Fi harmful?,Radiation from cell phones and Wi-Fi is harmful,Cell phone radiation is absorbed more by children's brains than by adult's brains,pro,13
113,https://www.kialo.com/is-radiation-from-cell-phones-and-wi-fi-harmful-10180,Is radiation from cell phones and Wi-Fi harmful?,Radiation from cell phones and Wi-Fi is harmful,Cell phone radiation increases the permeability of the blood-brain barrier,pro,10
115,https://www.kialo.com/is-radiation-from-cell-phones-and-wi-fi-harmful-10180,Is radiation from cell phones and Wi-Fi harmful?,Radiation from cell phones and Wi-Fi is harmful,The effects of cell phones and Wi-Fi are minimal at best,con,11
116,https://www.kialo.com/is-radiation-from-cell-phones-and-wi-fi-harmful-10180,Is radiation from cell phones and Wi-Fi harmful?,Radiation from cell phones and Wi-Fi is harmful,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",con,14
117,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,Science and religion are similar in that both have been used to explain the origin of man,pro,17
119,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,Science and religion both use personal experience as a means to understand existence,pro,13
121,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,Science and religion both need belief in something that you do not personally understand to function,pro,16
123,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,con,13
124,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",con,18
126,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",con,20
128,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,"There exist many kinds of different religions, some are akin to science, and some are not",con,16
