Order,Index,Topic,Argument,Words,Condition_Share,Share
1,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,0,0
2,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,0,0
3,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,0,0
4,157,Is modern technology a disadvantage to society?,Technology has forever changed day-to-day life for the better,9,0,0
5,216,Is Eating Meat Wrong?,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,20,0,0
6,166,Pro-Life vs Pro-Choice: Should Abortion be Legal?,The ability for people to control their own reproduction is fundamental to achieving gender equality,15,0,0
7,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,0,0
8,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,0,0
9,143,Should lottery be an integral component of democratic political systems?,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,16,0,0
10,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,0,0
11,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,0,0
12,195,Should Sex Work Be Legal?,The government has no right to outlaw an interaction between consenting adults,12,0,0
13,117,Is Science Akin To Religion?,Science and religion are similar in that both have been used to explain the origin of man,17,0,0
14,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,0,0
15,167,Pro-Life vs Pro-Choice: Should Abortion be Legal?,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,0,0
16,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,0,0
17,214,Is Eating Meat Wrong?,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,20,0,0
18,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,0,0
19,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,0,0
20,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,0,0
